length,cyclomatic,quantity,potential,diversity,level,rule_id
42,6,5,30,3,0.3953488372093023,1
50,10,5,32,3,0.35294117647058826,2
70,20,5,36,4,0.28169014084507044,3
16,2,2,14,3,0.5294117647058824,4
22,5,2,22,4,0.5652173913043478,5
12,0,2,14,1,0.6923076923076923,6
96,30,6,44,4,0.24742268041237114,7
24,6,2,20,4,0.48,8
54,15,4,36,4,0.36363636363636365,9
30,6,3,26,4,0.4838709677419355,10
40,8,4,28,3,0.3902439024390244,11
32,10,2,24,4,0.42424242424242425,12
68,16,6,40,4,0.3188405797101449,13
32,10,2,22,4,0.3939393939393939,14
54,15,4,38,4,0.38181818181818183,15
30,6,3,24,4,0.45161290322580644,16
40,5,5,30,4,0.4146341463414634,17
16,2,2,16,3,0.5882352941176471,18
52,8,6,32,3,0.33962264150943394,19
34,8,3,30,4,0.4857142857142857,20
56,10,6,36,3,0.3508771929824561,21
72,18,6,36,4,0.273972602739726,22
54,9,6,38,4,0.38181818181818183,23
32,10,2,24,4,0.42424242424242425,24
42,9,4,32,4,0.4186046511627907,25
20,4,2,14,3,0.42857142857142855,26
48,9,5,38,4,0.42857142857142855,27
28,8,2,20,4,0.41379310344827586,28
20,4,2,16,3,0.47619047619047616,29
20,4,2,20,4,0.5714285714285714,30
86,25,6,42,4,0.26436781609195403,31
34,5,4,28,4,0.45714285714285713,32
34,8,3,28,4,0.45714285714285713,33
48,12,4,30,4,0.3469387755102041,34
24,0,4,20,1,0.48,35
40,8,4,20,3,0.2926829268292683,36
28,5,3,26,4,0.5172413793103449,37
54,15,4,38,4,0.38181818181818183,38
